Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
6,759994;0,009619856;0,1619397;30,75859;21,58515;30,74948;21,58206
6,779994;0,009686203;0,1632085;30,72812;21,67527;30,71894;21,67216
6,799994;0,009748932;0,1602186;30,69765;21,76538;30,68841;21,76225
6,819994;0,009807433;0,1565754;30,66717;21,8555;30,65788;21,85235
6,839994;0,009864742;0,1559564;30,63669;21,94562;30,62735;21,94245
6,859994;0,009916588;0,1510117;30,60621;22,03574;30,59682;22,03255
6,879994;0,009964818;0,1478786;30,57572;22,12586;30,56628;22,12266
6,899994;0,01066331;0,8051234;30,54523;22,21597;30,53516;22,21248
6,919994;0,01113083;0,5788315;30,51451;22,30603;30,504;22,30238
6,939994;0,01141735;0,4006903;30,48361;22,39607;30,47282;22,39233
6,959994;0,01154885;0,2469922;30,45258;22,486;30,44167;22,48222
6,979994;0,01155668;0,1233927;30,42141;22,57598;30,41049;22,57219
6,999994;0,01150724;0,06563781;30,39013;22,66606;30,37926;22,66228
7,019994;0,01145169;0,05896442;30,35894;22,75587;30,34812;22,75212
7,039994;0,01140522;0,06758198;30,32775;22,84573;30,31697;22,842
7,059994;0,01190236;0,6161647;30,29656;22,9356;30,28534;22,93162
7,079994;0,01237593;0,5973315;30,26524;23,02542;30,25357;23,02129
7,099994;0,01290441;0,6575224;30,23397;23,11526;30,2218;23,11095
7,119994;0,01327059;0,4988816;30,20249;23,2052;30,18998;23,20077
7,139994;0,01340632;0,2697989;30,17078;23,2951;30,15814;23,29062
7,159994;0,01344429;0,1724073;30,139;23,38489;30,12633;23,3804
7,179994;0,01343644;0,1265199;30,10718;23,4747;30,09451;23,47021
